x,y,z,yaw_deg,gimbal_pitch_deg,hold_sec,tag
-105.974548,99.843254,35.375645,0.00,-90.00,4.00,marker_8_roof_scan
-105.974548,109.843254,31.375645,-90.00,-35.00,4.00,marker_8_wall_scan_N
-95.974548,99.843254,31.375645,180.00,-35.00,4.00,marker_8_wall_scan_E
-105.974548,89.843254,31.375645,90.00,-35.00,4.00,marker_8_wall_scan_S
-115.974548,99.843254,31.375645,0.00,-35.00,4.00,marker_8_wall_scan_W
-109.803936,99.611042,24.000000,-2.16,-60.00,1.00,mission2_cruise_transition_001
-103.633324,99.378830,32.037605,0.00,-90.00,4.00,marker_1_roof_scan
-103.633324,109.378830,28.037605,-90.00,-35.00,4.00,marker_1_wall_scan_N
-93.633324,99.378830,28.037605,180.00,-35.00,4.00,marker_1_wall_scan_E
-103.633324,89.378830,28.037605,90.00,-35.00,4.00,marker_1_wall_scan_S
-113.633324,99.378830,28.037605,0.00,-35.00,4.00,marker_1_wall_scan_W
-107.225384,99.614014,24.000000,2.10,-60.00,1.00,mission2_cruise_transition_002
-100.817444,99.849197,24.464633,0.00,-90.00,4.00,marker_0_roof_scan
-100.817444,109.849197,24.000000,-90.00,-60.00,1.00,mission2_cruise_transition_003
-100.817444,109.849197,20.464633,-90.00,-35.00,4.00,marker_0_wall_scan_N
-90.817444,99.849197,24.000000,180.00,-60.00,1.00,mission2_cruise_transition_004
-90.817444,99.849197,20.464633,180.00,-35.00,4.00,marker_0_wall_scan_E
-100.817444,89.849197,24.000000,90.00,-60.00,1.00,mission2_cruise_transition_005
-100.817444,89.849197,20.464633,90.00,-35.00,4.00,marker_0_wall_scan_S
-110.817444,99.849197,24.000000,0.00,-60.00,1.00,mission2_cruise_transition_006
-110.817444,99.849197,20.464633,0.00,-35.00,4.00,marker_0_wall_scan_W
-106.039553,89.406850,24.000000,-65.41,-60.00,1.00,mission2_cruise_transition_007
-101.261663,78.964503,24.000000,-65.41,-60.00,1.00,mission2_cruise_transition_008
-96.483772,68.522156,24.000000,0.00,-60.00,1.00,mission2_cruise_transition_009
-96.483772,68.522156,18.000000,0.00,-90.00,4.00,marker_7_roof_scan
-96.483772,78.522156,24.000000,-90.00,-60.00,1.00,mission2_cruise_transition_010
-96.483772,78.522156,14.000000,-90.00,-35.00,4.00,marker_7_wall_scan_N
-86.483772,68.522156,24.000000,180.00,-60.00,1.00,mission2_cruise_transition_011
-86.483772,68.522156,14.000000,180.00,-35.00,4.00,marker_7_wall_scan_E
-96.483772,58.522156,24.000000,90.00,-60.00,1.00,mission2_cruise_transition_012
-96.483772,58.522156,14.000000,90.00,-35.00,4.00,marker_7_wall_scan_S
-106.483772,68.522156,24.000000,0.00,-60.00,1.00,mission2_cruise_transition_013
-106.483772,68.522156,14.000000,0.00,-35.00,4.00,marker_7_wall_scan_W
-103.954201,77.477516,24.000000,74.23,-60.00,1.00,mission2_cruise_transition_014
-101.424629,86.432877,24.000000,74.23,-60.00,1.00,mission2_cruise_transition_015
-98.895058,95.388237,24.000000,74.23,-60.00,1.00,mission2_cruise_transition_016
